,,,,
,,,,
,HD-OKÊ!!,,
,,,,
CANTOR,NÚMERO,MÚSICA,
Adele,24748,MAKE YOU FEEL MY LOVE,
Ariana Grande,24716,GOD IS A WOMAN,
Ariana Grande,24759,NO TEARS LEFT TO CRY,
Ariana Grande,24791,"THANK U, NEXT",
Aurora,24711,FORGOTTEN LOVE,
Aurora,24767,QUEENDOM,
Bebe Rexha & Florida Georgia Line,24753,MEANT TO BE,
Beyoncé,24697,DADDY LESSONS,
Bobby McFerrin,24702,DON'T WORRY BE HAPPY,
Bobby Womack,24806,WOMAN'S GOTTA HAVE IT,
Bruno Mars & Cardi B,24710,FINESSE (REMIX),
Buddy Holly,24707,EVERYDAY,
Camila Cabello,24756,NEVER BE THE SAME,
Camila Cabello,24784,SOMETHING'S GOTTA GIVE,
Carrie Underwood,24737,INSIDE YOUR HEAVEN,
Chris Isaak,24689,BABY DID A BAD BAD THING,
Clean Bandit ft. Demi Lovato,24782,SOLO,
David Bowie,24742,LIFE ON MARS,
Def Leppard,24725,HYSTERIA,
Def Leppard,24747,LOVE BITES,
Demi Lovato,24781,SOBER,
Destiny's Child,24739,"JUMPIN', JUMPIN'",
Disturbed,24792,THE SOUND OF SILENCE,
"DJ Snake ft. Selena Gomez, Ozuna & Cardi B",24789,TAKI TAKI,
Dolly Parton,24683,9 TO 5,
Drake,24717,GOD'S PLAN,
Drake,24734,IN MY FEELINGS,
Elvis Presley,24682,(YOU'RE THE) DEVIL IN DISGUISE,
Elvis Presley,24685,ALL SHOOK UP,
En Vogue,24722,HOLD ON,
Enrique Iglesias ft. Bad Bunny,24704,EL BAÑO,
Eric Carmen,24724,HUNGRY EYES,
Everly Brothers,24684,ALL I HAVE TO DO IS DREAM,
Faith Hill,24796,THERE YOU'LL BE,
Fantasia,24726,I BELIEVE,
Garbage,24727,I THINK I'M PARANOID,
Garbage,24787,STUPID GIRL,
Gary Barlow,24780,SO HELP ME GIRL,
Guns N' Roses,24743,LIVE AND LET DIE,
Guns N' Roses,24778,SINCE I DON'T HAVE YOU,
Halsey,24805,WITHOUT ME,
Imagine Dragons,24755,NATURAL,
Imagine Dragons,24802,WHATEVER IT TAKES,
Inner Circle,24690,BAD BOYS,
Janis Joplin,24751,MAYBE,
Janis Joplin,24752,ME AND BOBBY McGEE,
Joss Stone,24771,RIGHT TO BE WRONG,
Joss Stone ft. Common,24790,TELL ME WHAT WE'RE GONNA DO NOW,
Judas Priest,24745,LIVING AFTER MIDNIGHT,
Julio Iglesias,19473,ME OLVIDÉ DE VIVIR,
Julio Iglesias,19474,SOY UM TRUHÁN SOY UM SEÑOR,
KC and The Sunshine Band,24715,GIVE IT UP,
Kenny Loggins,24698,DANGER ZONE,
Kiss,24728,I WAS MADE FOR LOVIN' YOU,
"Lady Gaga, Bradley Cooper",24776,SHALLOW,
Laura Pausini,24706,EN CAMBIO NO,
Led Zeppelin,24718,GOOD TIMES BAD TIMES,
Led Zeppelin,24768,RAMBLE ON,
Leona Lewis,24773,RUN,
Level 42,24783,SOMETHING ABOUT YOU,
Lighthouse Family,24721,HIGH,
Little Mix,24798,TOUCH,
Louis Armstrong,24720,HELLO DOLLY,
,,,,
,Página 1 de 3,,
,,,,
,HD-OKÊ!!,,
,,,,
CANTOR,NÚMERO,MÚSICA,
Luis Miguel,19472,AHORA TE PUERDES MARCHAR,
Lynyrd Skynyrd,24712,FREE BIRD,
Mariah Carey,24686,ALWAYS BE MY BABY,
Mariah Carey,24693,BUTTERFLY,
Mariah Carey,24694,BYE BYE,
Mariah Carey,24705,EMOTIONS,
Mariah Carey,24708,FANTASY,
Mariah Carey,24760,OBSESSED,
Mariah Carey ft. One Sweet Day,24764,ONE SWEET DAY,
Marina and The Diamonds,24765,PRIMADONNA GIRL,
Marshmello ft. Anne-Marie,24713,FRIENDS,
Matchbox Twenty,24700,DISEASE,
Matchbox Twenty,24766,PUSH,
Men At Work,24804,WHO CAN IT BE NOW,
Metallica,24750,MASTER OF PUPPETS,
Michael Jackson,24795,THE WAY YOU MAKE ME FEEL,
Miley Cyrus,24749,MALIBU,
Moody Blues,24736,IN YOUR WILDEST DREAMS,
Nelly Furtado,24799,TURN OFF THE LIGHT,
Oasis,24744,LIVE FOREVER,
Outkast,24772,ROSES,
Ozzy Osbourne,24691,BARK AT THE MOON,
Ozzy Osbourne,24696,CRAZY TRAIN,
Ozzy Osbourne,24703,DREAMER,
Paramore,24731,IGNORANCE,
"Paul, Peter & Mary",24740,LEAVING ON A JET PLANE,
Pink,24801,WHAT ABOUT US,
Pointer Sisters,24738,JUMP (FOR MY LOVE),
Pointer Sisters,24807,YES WE CAN CAN,
Prince,24741,LET'S GO CRAZY,
Rihanna,24701,DON'T STOP THE MUSIC,
Rita Ora,24688,ANYWHERE,
Robbie Williams,24709,FEEL,
Robbie Williams,24777,SHE'S MADONNA,
Roxette,24723,HOW DO YOU DO,
Roy Orbison,24732,IN DREAMS,
Sade,24758,NO ORDINARY LOVE,
Sade,24793,THE SWEETEST TABOO,
Shaggy,24761,OH CAROLINA,
Shania Twain,24687,ANY MAN OF MINE,
Shawn Mendes,24733,IN MY BLOOD,
Sheryl Crow,24729,IF IT MAKES YOU HAPPY,
Sia,24757,NEVER GIVE UP,
Sigrid,24786,STRANGERS,
Simon & Garfunkel,24754,MRS. ROBINSON,
Simply Red,24730,IF YOU DON'T KNOW ME BY NOW,
Snow Patrol,24695,CHASING CARS,
Snow Patrol,24774,RUN,
Stevie Wonder,24779,SIR DUKE,
Stevie Wonder,24788,SUPERSTITION,
Supertramp,24714,GIVE A LITTLE BIT,
Suzanne Vega,24797,TOM'S DINER,
Taylor Swift,24699,DELICATE,
The Doobie Brothers,24746,LONG TRAIN RUNNIN',
The Rasmus,24735,IN THE SHADOWS,
The Smiths,24719,HEAVEN KNOWS I'M MISERABLE NOW,
The Strokes,24769,REPTILIA,
The Temptations,24794,THE WAY YOU DO THE THINGS YOU DO,
The Walflowers,24763,ONE HEADLIGHT,
The XX,24762,ON HOLD,
Thirty Seconds To Mars,24770,RESCUE ME,
U2,24785,STAY (FARWAY SO CLOSE),
,,,
,Página 2 de 3,,
,,,
HD-OKÊ!!,,,
,,,
CANTOR,NÚMERO,MÚSICA
U2,24803,WHERE THE STREETS HAVE NO NAME
Weezer,24692,BUDDY HOLLY
Westlife,24800,UPTOWN GIRL
Westlife,24808,YOU RAISE ME UP
Whitney Houston,24775,RUN TO YOU
,,,,
Página 3 de 3,,,
